motif,top.potential.TF.family,top.potential.TF.subfamily,potential.TF.family,potential.TF.subfamily,top_5percent_TFs
FOXA3.B,FOXA1,FOXA1,FOXA1;FOXD2,FOXA1,FOXA1;GATA3;ESR1;SPDEF;RARA;\ldots
FOXB1.D,FOXA1,NA,FOXA1,NA,FOXA1;GATA3;ESR1;SPDEF;CXXC5;\ldots
FOXC1.C,FOXA1,NA,FOXA1;FOXD2,NA,FOXA1;GATA3;ESR1;SPDEF;RARA;\ldots
FOXC2.D,FOXA1,NA,FOXA1;FOXD2,NA,FOXA1;GATA3;ESR1;SPDEF;RARA;\ldots
FOXD1.D,FOXA1,NA,FOXA1,NA,FOXA1;GATA3;ESR1;SPDEF;CXXC5;\ldots
FOXD2.D,FOXA1,NA,FOXA1,NA,FOXA1;GATA3;ESR1;SPDEF;CXXC5;\ldots
FOXD3.D,FOXA1,FOXD2,FOXA1;FOXD2,FOXD2,FOXA1;GATA3;ESR1;SPDEF;RARA;\ldots
FOXF1.D,FOXA1,NA,FOXA1,NA,FOXA1;GATA3;ESR1;RARA;SPDEF;\ldots
FOXF2.D,FOXA1,NA,FOXA1,NA,FOXA1;GATA3;ESR1;SPDEF;RARA;\ldots
FOXG1.D,FOXA1,NA,FOXA1,NA,FOXA1;GATA3;ESR1;SPDEF;RARA;\ldots
FOXJ2.C,FOXA1,NA,FOXA1,NA,FOXA1;GATA3;ESR1;RARA;SPDEF;\ldots
FOXJ3.A,FOXA1,NA,FOXA1,NA,FOXA1;GATA3;ESR1;SPDEF;RARA;\ldots
FOXJ31.B,FOXA1,NA,FOXA1;FOXD2,NA,FOXA1;GATA3;ESR1;RARA;CXXC5;\ldots
FOXK1.A,FOXA1,NA,FOXA1,NA,FOXA1;GATA3;ESR1;SPDEF;CXXC5;\ldots
FOXL1.D,FOXA1,NA,FOXA1;FOXD2,NA,FOXA1;GATA3;ESR1;SPDEF;RARA;\ldots
FOXM1.A,FOXA1,NA,FOXA1,NA,FOXA1;GATA3;ESR1;SPDEF;CXXC5;\ldots
FOXO1.A,FOXA1,NA,FOXA1,NA,FOXA1;GATA3;ESR1;RARA;SPDEF;\ldots
FOXO3.B,FOXA1,NA,FOXA1,NA,FOXA1;GATA3;ESR1;SPDEF;RARA;\ldots
FOXO4.C,FOXA1,NA,FOXA1;FOXD2,NA,FOXA1;GATA3;ESR1;SPDEF;RARA;\ldots
FOXO6.D,FOXA1,NA,FOXA1,NA,FOXA1;GATA3;ESR1;CXXC5;RARA;\ldots
FOXP1.A,FOXA1,NA,FOXA1;FOXD2,NA,FOXA1;GATA3;ESR1;RARA;SPDEF;\ldots
FOXP2.C,FOXA1,NA,FOXA1,NA,FOXA1;GATA3;ESR1;SPDEF;RARA;\ldots
FOXP3.D,FOXA1,NA,FOXA1;FOXD2,NA,FOXA1;GATA3;ESR1;SPDEF;RARA;\ldots
FOXQ1.C,FOXA1,NA,FOXA1,NA,FOXA1;GATA3;ESR1;SPDEF;CXXC5;\ldots
FUBP1.D,NA,NA,NA,NA,FOXA1;GATA3;ESR1;RARA;SPDEF;\ldots
GATA1.A,GATA3,GATA3,GATA3,GATA3,FOXA1;GATA3;ESR1;SPDEF;CXXC5;\ldots
GATA11.A,GATA3,GATA3,GATA3,GATA3,FOXA1;GATA3;ESR1;SPDEF;RARA;\ldots
GATA2.A,GATA3,GATA3,GATA3,GATA3,FOXA1;GATA3;ESR1;SPDEF;CXXC5;\ldots
GATA3.A,GATA3,GATA3,GATA3,GATA3,FOXA1;GATA3;ESR1;SPDEF;RARA;\ldots
GATA4.A,GATA3,GATA3,GATA3,GATA3,FOXA1;GATA3;ESR1;SPDEF;RARA;\ldots
GATA5.D,GATA3,GATA3,GATA3,GATA3,FOXA1;GATA3;ESR1;SPDEF;CXXC5;\ldots
GATA6.A,GATA3,GATA3,GATA3,GATA3,FOXA1;GATA3;ESR1;SPDEF;RARA;\ldots
GBX1.D,NA,NA,NA,NA,FOXA1;GATA3;ESR1;CXXC5;RARA;\ldots
